C-A10-0;C-RGRP86-0;F-RGR-BRPNOM;F-RGR-BRPEINW;F-RGR-BRPERW;F-RGR-VERVJ;F-RGR-VERKVJ
A10-2006;ATZZZ;116,0;0,0;0,0;0,0;0,0
A10-2006;AT11;5832,0;20900,0;50800,0;2,0;1,6
A10-2006;AT12;41375,0;26100,0;60100,0;3,1;2,5
A10-2006;AT13;69355,0;41900,0;75000,0;3,4;2,5
A10-2006;AT21;15395,0;27500,0;58300,0;3,1;3,1
A10-2006;AT22;34447,0;28700,0;58000,0;3,3;3,0
A10-2006;AT31;45092,0;32200,0;64100,0;3,2;2,9
A10-2006;AT32;19180,0;36500,0;64800,0;3,7;3,3
A10-2006;AT33;23057,0;33200,0;62300,0;3,0;2,3
A10-2006;AT34;12085,0;33300,0;67900,0;3,8;3,3
A10-2006;ATZZ;116,0;0,0;67900,0;-2,7;0,0
A10-2006;AT1;116562,0;33100,0;67500,0;3,2;2,5
A10-2006;AT2;49842,0;28300,0;58100,0;3,2;3,0
A10-2006;AT3;99414,0;33300,0;64200,0;3,3;2,9
A10-2006;ATZ;116,0;0,0;67900,0;-2,7;0,0
A10-2007;AT111;747,0;19900,0;0,0;0,0;0,0
A10-2007;AT112;3508,0;24100,0;0,0;0,0;0,0
A10-2007;AT113;1971,0;20200,0;0,0;0,0;0,0
A10-2007;AT121;6237,0;25900,0;0,0;0,0;0,0
A10-2007;AT122;6290,0;25000,0;0,0;0,0;0,0
A10-2007;AT123;4828,0;32800,0;0,0;0,0;0,0
A10-2007;AT124;4937,0;22300,0;0,0;0,0;0,0
A10-2007;AT125;2105,0;17000,0;0,0;0,0;0,0
A10-2007;AT126;7012,0;23700,0;0,0;0,0;0,0
A10-2007;AT127;12817,0;41200,0;0,0;0,0;0,0
A10-2007;AT130;72705,0;43700,0;0,0;0,0;0,0
A10-2007;AT211;9567,0;34900,0;0,0;0,0;0,0
A10-2007;AT212;3085,0;23800,0;0,0;0,0;0,0
A10-2007;AT213;3882,0;24900,0;0,0;0,0;0,0
A10-2007;AT221;16195,0;41700,0;0,0;0,0;0,0
A10-2007;AT222;2198,0;27200,0;0,0;0,0;0,0
A10-2007;AT223;5459,0;32200,0;0,0;0,0;0,0
A10-2007;AT224;6038,0;22500,0;0,0;0,0;0,0
A10-2007;AT225;4343,0;22800,0;0,0;0,0;0,0
A10-2007;AT226;2623,0;24800,0;0,0;0,0;0,0
A10-2007;AT311;7297,0;26600,0;0,0;0,0;0,0
A10-2007;AT312;24543,0;45100,0;0,0;0,0;0,0
A10-2007;AT313;3718,0;18200,0;0,0;0,0;0,0
A10-2007;AT314;5423,0;35400,0;0,0;0,0;0,0
A10-2007;AT315;6981,0;30400,0;0,0;0,0;0,0
A10-2007;AT321;490,0;23400,0;0,0;0,0;0,0
A10-2007;AT322;5096,0;31300,0;0,0;0,0;0,0
A10-2007;AT323;14966,0;43800,0;0,0;0,0;0,0
A10-2007;AT331;1174,0;36900,0;0,0;0,0;0,0
A10-2007;AT332;10577,0;37900,0;0,0;0,0;0,0
A10-2007;AT333;1209,0;24000,0;0,0;0,0;0,0
A10-2007;AT334;2934,0;29400,0;0,0;0,0;0,0
A10-2007;AT335;8293,0;35000,0;0,0;0,0;0,0
A10-2007;AT341;3213,0;36300,0;0,0;0,0;0,0
A10-2007;AT342;9633,0;34800,0;0,0;0,0;0,0
A10-2007;ATZZZ;115,0;0,0;0,0;0,0;0,0
A10-2007;AT11;6226,0;22200,0;53500,0;3,5;3,2
A10-2007;AT12;44227,0;27800,0;63200,0;4,5;4,0
A10-2007;AT13;72705,0;43700,0;77200,0;3,0;2,5
A10-2007;AT21;16534,0;29500,0;61700,0;4,6;4,5
